C60A93 $9C $43 $BE     STZ $BE43 [7EBE43] = $0000      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:06 V:20  H:203
C60A96 $9C $65 $BE     STZ $BE65 [7EBE65] = $0000      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:06 V:20  H:211
C60A99 $AD $FF $99     LDA $99FF [7E99FF] = $0001      A:0000 X:0000 Y:0000 S:0375 D:0000 DB:7E P:06 V:20  H:220
C60A9C $8D $07 $9A     STA $9A07 [7E9A07] = $0001      A:0001 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:228
C60A9F $AD $F7 $99     LDA $99F7 [7E99F7] = $0021      A:0001 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:237
C60AA2 $8D $01 $9A     STA $9A01 [7E9A01] = $0008      A:0021 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:245
C60AA5 $AD $F9 $99     LDA $99F9 [7E99F9] = $0085      A:0021 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:254
C60AA8 $8D $03 $9A     STA $9A03 [7E9A03] = $0034      A:0085 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:262
C60AAB $9C $05 $9A     STZ $9A05 [7E9A05] = $0000      A:0085 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:271
C60AAE $AD $50 $98     LDA $9850 [7E9850] = $0034      A:0085 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:295
C60AB1 $8D $F9 $99     STA $99F9 [7E99F9] = $0085      A:0034 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:304
C60AB4 $9C $FB $99     STZ $99FB [7E99FB] = $0000      A:0034 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:312
C60AB7 $AE $F9 $99     LDX $99F9 [7E99F9] = $0034      A:0034 X:0000 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:321
C60ABA $22 $72 $05 $C9 JSL $C90572                     A:0034 X:0034 Y:0000 S:0375 D:0000 DB:7E P:04 V:20  H:328
C90572 $08             PHP                             A:0034 X:0034 Y:0000 S:0372 D:0000 DB:7E P:04 V:21  H:2  
C90573 $8B             PHB                             A:0034 X:0034 Y:0000 S:0371 D:0000 DB:7E P:04 V:21  H:7  
C90574 $78             SEI                             A:0034 X:0034 Y:0000 S:0370 D:0000 DB:7E P:04 V:21  H:12 
C90575 $C2 $30         REP #$30                        A:0034 X:0034 Y:0000 S:0370 D:0000 DB:7E P:04 V:21  H:15 
C90577 $48             PHA                             A:0034 X:0034 Y:0000 S:0370 D:0000 DB:7E P:04 V:21  H:19 
C90578 $DA             PHX                             A:0034 X:0034 Y:0000 S:036E D:0000 DB:7E P:04 V:21  H:26 
C90579 $5A             PHY                             A:0034 X:0034 Y:0000 S:036C D:0000 DB:7E P:04 V:21  H:33 
C9057A $86 $40         STX $40 [000040] = $FFFB        A:0034 X:0034 Y:0000 S:036A D:0000 DB:7E P:04 V:21  H:40 
C9057C $E2 $30         SEP #$30                        A:0034 X:0034 Y:0000 S:036A D:0000 DB:7E P:04 V:21  H:47 
C9057E $A3 $0B         LDA $0B,S [000375] = $C6        A:0034 X:0034 Y:0000 S:036A D:0000 DB:7E P:34 V:21  H:52 
C90580 $48             PHA                             A:00C6 X:0034 Y:0000 S:036A D:0000 DB:7E P:B4 V:21  H:58 
C90581 $AB             PLB                             A:00C6 X:0034 Y:0000 S:0369 D:0000 DB:7E P:B4 V:21  H:63 
C90582 $A0 $01         LDY #$01                        A:00C6 X:0034 Y:0000 S:036A D:0000 DB:C6 P:B4 V:21  H:70 
