C16E37 $60             RTS                             A:0000 X:0008 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:62  H:7  
C16D43 $A6 $18         LDX $18 [0000D8] = $0008        A:0000 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIZC V:62  H:17 
C16D45 $CA             DEX                             A:0000 X:0008 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:26 
C16D46 $CA             DEX                             A:0000 X:0007 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:29 
C16D47 $10 $E5         BPL $C16D2E                     A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:32 
C16D2E $86 $18         STX $18 [0000D8] = $0008        A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:36 
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2D8] = $0000    A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:45 
C16D33 $F0 $0E         BEQ $C16D43                     A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIZC V:62  H:55 
C16D43 $A6 $18         LDX $18 [0000D8] = $0006        A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIZC V:62  H:59 
C16D45 $CA             DEX                             A:0000 X:0006 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:68 
C16D46 $CA             DEX                             A:0000 X:0005 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:71 
C16D47 $10 $E5         BPL $C16D2E                     A:0000 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:74 
C16D2E $86 $18         STX $18 [0000D8] = $0006        A:0000 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:78 
C16D30 $BD $D2 $E2     LDA $E2D2,X [7FE2D6] = $0001    A:0000 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:87 
C16D33 $F0 $0E         BEQ $C16D43                     A:0001 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:97 
C16D35 $BD $9E $E3     LDA $E39E,X [7FE3A2] = $0100    A:0001 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:100
C16D38 $1D $A8 $E3     ORA $E3A8,X [7FE3AC] = $0000    A:0100 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:110
C16D3B $F0 $06         BEQ $C16D43                     A:0100 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:120
C16D3D $20 $B6 $6D     JSR $6DB6 [C16DB6] = $9EBD      A:0100 X:0004 Y:020C S:03F9 D:00C0 DB:7F P:nvmxdIzC V:62  H:123
C16DB6 $BD $9E $E3     LDA $E39E,X [7FE3A2] = $0100    A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:133
C16DB9 $F0 $3B         BEQ $C16DF6                     A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:153
C16DBB $30 $18         BMI $C16DD5                     A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:156
C16DBD $BD $32 $E3     LDA $E332,X [7FE336] = $FF00    A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:159
C16DC0 $29 $FF $00     AND #$00FF                      A:FF00 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzC V:62  H:169
C16DC3 $18             CLC                             A:0000 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZC V:62  H:173
C16DC4 $7D $9E $E3     ADC $E39E,X [7FE3A2] = $0100    A:0000 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:176
C16DC7 $9D $32 $E3     STA $E332,X [7FE336] = $FF00    A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:186
C16DCA $EB             XBA                             A:0100 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:196
C16DCB $29 $FF $00     AND #$00FF                      A:0001 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:201
C16DCE $F0 $26         BEQ $C16DF6                     A:0001 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:205
C16DD0 $85 $1C         STA $1C [0000DC] = $0001        A:0001 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:208
C16DD2 $4C $9E $6E     JMP $6E9E [C16E9E] = $3EAD      A:0001 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:217
C16E9E $AD $3E $E3     LDA $E33E [7FE33E] = $0000      A:0001 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:221
C16EA1 $D0 $31         BNE $C16ED4                     A:0000 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:230
C16EA3 $BD $6C $E3     LDA $E36C,X [7FE370] = $0C38    A:0000 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIZc V:62  H:233
C16EA6 $18             CLC                             A:0C38 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:243
C16EA7 $65 $1C         ADC $1C [0000DC] = $0001        A:0C38 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:246
C16EA9 $38             SEC                             A:0C39 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:254
C16EAA $E9 $00 $08     SBC #$0800                      A:0C39 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:257
C16EAD $2F $A0 $96 $7E AND $7E96A0                     A:0439 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:262
C16EB1 $18             CLC                             A:0439 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzC V:62  H:272
C16EB2 $69 $00 $08     ADC #$0800                      A:0439 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:275
C16EB5 $9D $6C $E3     STA $E36C,X [7FE370] = $0C38    A:0C39 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:287
C16EB8 $18             CLC                             A:0C39 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:297
C16EB9 $6D $B6 $E3     ADC $E3B6 [7FE3B6] = $00F8      A:0C39 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:300
