7E9897 $5C $00 $E1 $CA JMP $CAE100                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:111
CAE100 $22 $A1 $DF $CB JSL $CBDFA1                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:118
C046A5 $A9 $02 $00     LDA #$0002                      A:0006 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:224
C046A8 $8D $6A $8B     STA $8B6A [7E8B6A] = $0000      A:0002 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:228
C046AB $C8             INY                             A:0002 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:21  H:237
C046AC $B7 $30         LDA [$30],Y [F630DD] = $3701    A:0002 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:240
C046AE $29 $FF $00     AND #$00FF                      A:3701 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:252
C046B1 $F0 $0A         BEQ $C046BD                     A:0001 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:256
C046B3 $AD $6A $8B     LDA $8B6A [7E8B6A] = $0002      A:0001 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:259
C046B6 $18             CLC                             A:0002 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:21  H:268
C046B7 $69 $04 $00     ADC #$0004                      A:0002 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:271
C046BA $8D $6A $8B     STA $8B6A [7E8B6A] = $0002      A:0006 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:275
C046BD $AD $6A $8B     LDA $8B6A [7E8B6A] = $0006      A:0006 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:290
C046C0 $9D $52 $8B     STA $8B52,X [7E8B52] = $0006    A:0006 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:298
C046C3 $A7 $30         LDA [$30] [F630D9] = $30D2      A:0006 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:308
C046C5 $85 $34         STA $34 [000034] = $30D2        A:30D2 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:320
C046C7 $A0 $02 $00     LDY #$0002                      A:30D2 X:0000 Y:0004 S:0369 D:0000 DB:7E P:04 V:21  H:327
C046CA $B7 $30         LDA [$30],Y [F630DB] = $06F6    A:30D2 X:0000 Y:0002 S:0369 D:0000 DB:7E P:04 V:21  H:331
C046CC $29 $FF $00     AND #$00FF                      A:06F6 X:0000 Y:0002 S:0369 D:0000 DB:7E P:04 V:22  H:3  
C046CF $85 $36         STA $36 [000036] = $00F6        A:00F6 X:0000 Y:0002 S:0369 D:0000 DB:7E P:04 V:22  H:7  
C046D1 $A0 $00 $00     LDY #$0000                      A:00F6 X:0000 Y:0002 S:0369 D:0000 DB:7E P:04 V:22  H:14 
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B7E] = $30D2    A:00F6 X:0000 Y:0000 S:0369 D:0000 DB:7E P:06 V:22  H:19 
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:30D2 X:0000 Y:0000 S:0369 D:0000 DB:7E P:04 V:22  H:29 
C046D9 $D0 $07         BNE $C046E2                     A:30D2 X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:22  H:36 
C046DB $B9 $8E $8B     LDA $8B8E,Y [7E8B8E] = $FFFF    A:30D2 X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:22  H:39 
C046DE $C5 $36         CMP $36 [000036] = $00F6        A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:85 V:22  H:49 
C046E0 $F0 $1C         BEQ $C046FE                     A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:85 V:22  H:56 
C046E2 $C8             INY                             A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:85 V:22  H:59 
C046E3 $C8             INY                             A:FFFF X:0000 Y:0001 S:0369 D:0000 DB:7E P:05 V:22  H:62 
C046E4 $C0 $10 $00     CPY #$0010                      A:FFFF X:0000 Y:0002 S:0369 D:0000 DB:7E P:05 V:22  H:65 
C046E7 $90 $EB         BCC $C046D4                     A:FFFF X:0000 Y:0002 S:0369 D:0000 DB:7E P:84 V:22  H:69 
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B80] = $C1C0    A:FFFF X:0000 Y:0002 S:0369 D:0000 DB:7E P:84 V:22  H:74 
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:C1C0 X:0000 Y:0002 S:0369 D:0000 DB:7E P:84 V:22  H:84 
C046D9 $D0 $07         BNE $C046E2                     A:C1C0 X:0000 Y:0002 S:0369 D:0000 DB:7E P:85 V:22  H:91 
C046E2 $C8             INY                             A:C1C0 X:0000 Y:0002 S:0369 D:0000 DB:7E P:85 V:22  H:95 
C046E3 $C8             INY                             A:C1C0 X:0000 Y:0003 S:0369 D:0000 DB:7E P:05 V:22  H:98 
C046E4 $C0 $10 $00     CPY #$0010                      A:C1C0 X:0000 Y:0004 S:0369 D:0000 DB:7E P:05 V:22  H:101
C046E7 $90 $EB         BCC $C046D4                     A:C1C0 X:0000 Y:0004 S:0369 D:0000 DB:7E P:84 V:22  H:106
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B82] = $C3C2    A:C1C0 X:0000 Y:0004 S:0369 D:0000 DB:7E P:84 V:22  H:110
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:C3C2 X:0000 Y:0004 S:0369 D:0000 DB:7E P:84 V:22  H:120
C046D9 $D0 $07         BNE $C046E2                     A:C3C2 X:0000 Y:0004 S:0369 D:0000 DB:7E P:85 V:22  H:127
C046E2 $C8             INY                             A:C3C2 X:0000 Y:0004 S:0369 D:0000 DB:7E P:85 V:22  H:132
C046E3 $C8             INY                             A:C3C2 X:0000 Y:0005 S:0369 D:0000 DB:7E P:05 V:22  H:145
C046E4 $C0 $10 $00     CPY #$0010                      A:C3C2 X:0000 Y:0006 S:0369 D:0000 DB:7E P:05 V:22  H:148
C046E7 $90 $EB         BCC $C046D4                     A:C3C2 X:0000 Y:0006 S:0369 D:0000 DB:7E P:84 V:22  H:152
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B84] = $C5C4    A:C3C2 X:0000 Y:0006 S:0369 D:0000 DB:7E P:84 V:22  H:157
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:C5C4 X:0000 Y:0006 S:0369 D:0000 DB:7E P:84 V:22  H:167
C046D9 $D0 $07         BNE $C046E2                     A:C5C4 X:0000 Y:0006 S:0369 D:0000 DB:7E P:85 V:22  H:174
C046E2 $C8             INY                             A:C5C4 X:0000 Y:0006 S:0369 D:0000 DB:7E P:85 V:22  H:178
C046E3 $C8             INY                             A:C5C4 X:0000 Y:0007 S:0369 D:0000 DB:7E P:05 V:22  H:181
C046E4 $C0 $10 $00     CPY #$0010                      A:C5C4 X:0000 Y:0008 S:0369 D:0000 DB:7E P:05 V:22  H:184
C046E7 $90 $EB         BCC $C046D4                     A:C5C4 X:0000 Y:0008 S:0369 D:0000 DB:7E P:84 V:22  H:189
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B86] = $C7C6    A:C5C4 X:0000 Y:0008 S:0369 D:0000 DB:7E P:84 V:22  H:193
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:C7C6 X:0000 Y:0008 S:0369 D:0000 DB:7E P:84 V:22  H:203
C046D9 $D0 $07         BNE $C046E2                     A:C7C6 X:0000 Y:0008 S:0369 D:0000 DB:7E P:85 V:22  H:210
C046E2 $C8             INY                             A:C7C6 X:0000 Y:0008 S:0369 D:0000 DB:7E P:85 V:22  H:215
C046E3 $C8             INY                             A:C7C6 X:0000 Y:0009 S:0369 D:0000 DB:7E P:05 V:22  H:218
C046E4 $C0 $10 $00     CPY #$0010                      A:C7C6 X:0000 Y:000A S:0369 D:0000 DB:7E P:05 V:22  H:221
C046E7 $90 $EB         BCC $C046D4                     A:C7C6 X:0000 Y:000A S:0369 D:0000 DB:7E P:84 V:22  H:225
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B88] = $C9C8    A:C7C6 X:0000 Y:000A S:0369 D:0000 DB:7E P:84 V:22  H:230
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:C9C8 X:0000 Y:000A S:0369 D:0000 DB:7E P:84 V:22  H:240
C046D9 $D0 $07         BNE $C046E2                     A:C9C8 X:0000 Y:000A S:0369 D:0000 DB:7E P:85 V:22  H:247
C046E2 $C8             INY                             A:C9C8 X:0000 Y:000A S:0369 D:0000 DB:7E P:85 V:22  H:251
C046E3 $C8             INY                             A:C9C8 X:0000 Y:000B S:0369 D:0000 DB:7E P:05 V:22  H:254
C046E4 $C0 $10 $00     CPY #$0010                      A:C9C8 X:0000 Y:000C S:0369 D:0000 DB:7E P:05 V:22  H:257
C046E7 $90 $EB         BCC $C046D4                     A:C9C8 X:0000 Y:000C S:0369 D:0000 DB:7E P:84 V:22  H:262
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B8A] = $CBCA    A:C9C8 X:0000 Y:000C S:0369 D:0000 DB:7E P:84 V:22  H:266
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:CBCA X:0000 Y:000C S:0369 D:0000 DB:7E P:84 V:22  H:284
C046D9 $D0 $07         BNE $C046E2                     A:CBCA X:0000 Y:000C S:0369 D:0000 DB:7E P:85 V:22  H:291
C046E2 $C8             INY                             A:CBCA X:0000 Y:000C S:0369 D:0000 DB:7E P:85 V:22  H:295
C046E3 $C8             INY                             A:CBCA X:0000 Y:000D S:0369 D:0000 DB:7E P:05 V:22  H:298
C046E4 $C0 $10 $00     CPY #$0010                      A:CBCA X:0000 Y:000E S:0369 D:0000 DB:7E P:05 V:22  H:301
C046E7 $90 $EB         BCC $C046D4                     A:CBCA X:0000 Y:000E S:0369 D:0000 DB:7E P:84 V:22  H:306
C046D4 $B9 $7E $8B     LDA $8B7E,Y [7E8B8C] = $CDCC    A:CBCA X:0000 Y:000E S:0369 D:0000 DB:7E P:84 V:22  H:310
C046D7 $C5 $34         CMP $34 [000034] = $30D2        A:CDCC X:0000 Y:000E S:0369 D:0000 DB:7E P:84 V:22  H:320
C046D9 $D0 $07         BNE $C046E2                     A:CDCC X:0000 Y:000E S:0369 D:0000 DB:7E P:85 V:22  H:327
C046E2 $C8             INY                             A:CDCC X:0000 Y:000E S:0369 D:0000 DB:7E P:85 V:22  H:331
C046E3 $C8             INY                             A:CDCC X:0000 Y:000F S:0369 D:0000 DB:7E P:05 V:22  H:334
C046E4 $C0 $10 $00     CPY #$0010                      A:CDCC X:0000 Y:0010 S:0369 D:0000 DB:7E P:05 V:22  H:337
C046E7 $90 $EB         BCC $C046D4                     A:CDCC X:0000 Y:0010 S:0369 D:0000 DB:7E P:07 V:23  H:1  
C046E9 $A0 $00 $00     LDY #$0000                      A:CDCC X:0000 Y:0010 S:0369 D:0000 DB:7E P:07 V:23  H:4  
C046EC $B9 $8E $8B     LDA $8B8E,Y [7E8B8E] = $FFFF    A:CDCC X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:23  H:9  
C046EF $C9 $FF $FF     CMP #$FFFF                      A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:85 V:23  H:19 
C046F2 $F0 $16         BEQ $C0470A                     A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:23  H:23 
C0470A $98             TYA                             A:FFFF X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:23  H:28 
C0470B $9D $E2 $8A     STA $8AE2,X [7E8AE2] = $0000    A:0000 X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:23  H:31 
C0470E $20 $56 $47     JSR $4756 [C04756] = $5ADA      A:0000 X:0000 Y:0000 S:0369 D:0000 DB:7E P:07 V:23  H:41 
C04756 $DA             PHX                             A:0000 X:0000 Y:0000 S:0367 D:0000 DB:7E P:07 V:23  H:51 
C04757 $5A             PHY                             A:0000 X:0000 Y:0000 S:0365 D:0000 DB:7E P:07 V:23  H:58 
C04758 $A7 $34         LDA [$34] [F630D2] = $C103      A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:65 
C0475A $29 $FF $00     AND #$00FF                      A:C103 X:0000 Y:0000 S:0363 D:0000 DB:7E P:85 V:23  H:77 
C0475D $85 $30         STA $30 [000030] = $30D9        A:0003 X:0000 Y:0000 S:0363 D:0000 DB:7E P:05 V:23  H:81 
C0475F $64 $32         STZ $32 [000032] = $00F6        A:0003 X:0000 Y:0000 S:0363 D:0000 DB:7E P:05 V:23  H:88 
C04761 $A2 $00 $00     LDX #$0000                      A:0003 X:0000 Y:0000 S:0363 D:0000 DB:7E P:05 V:23  H:95 
C04764 $BD $5E $88     LDA $885E,X [7E885E] = $0000    A:0003 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:100
C04767 $D0 $0E         BNE $C04777                     A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:110
C04769 $A5 $32         LDA $32 [000032] = $0000        A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:113
C0476B $D0 $01         BNE $C0476E                     A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:120
C0476D $9B             TXY                             A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:123
C0476E $E6 $32         INC $32 [000032] = $0000        A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:126
