C607FF $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:07 V:258 H:226
C60800 $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:229
C60801 $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:232
C60802 $48             PHA                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:235
C60803 $38             SEC                             A:0000 X:0010 Y:0000 S:0373 D:0000 DB:7E P:06 V:258 H:242
C60804 $ED $9E $96     SBC $969E [7E969E] = $0008      A:0000 X:0010 Y:0000 S:0373 D:0000 DB:7E P:07 V:258 H:245
C60807 $8D $63 $AD     STA $AD63 [7EAD63] = $0828      A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:84 V:258 H:254
C6080A $68             PLA                             A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:84 V:258 H:262
C6080B $18             CLC                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:271
C6080C $6D $92 $96     ADC $9692 [7E9692] = $0070      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:274
C6080F $8D $A7 $99     STA $99A7 [7E99A7] = $0000      A:0070 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:282
C60812 $AD $AB $99     LDA $99AB [7E99AB] = $0000      A:0070 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:258 H:291
C60815 $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:299
C60816 $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:302
C60817 $0A             ASL                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:305
C60818 $48             PHA                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:258 H:308
C60819 $38             SEC                             A:0000 X:0010 Y:0000 S:0373 D:0000 DB:7E P:06 V:258 H:315
C6081A $ED $9E $96     SBC $969E [7E969E] = $0008      A:0000 X:0010 Y:0000 S:0373 D:0000 DB:7E P:07 V:258 H:318
C6081D $8D $67 $AD     STA $AD67 [7EAD67] = $0830      A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:84 V:258 H:326
C60820 $68             PLA                             A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:84 V:258 H:334
