01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E91C $D0 $F7         BNE $01E915                     A:CD3A X:0003 Y:9A2D S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:110
01E915 $B9 $00 $00     LDA $0000,Y [049A2D] = $05      A:CD3A X:0003 Y:9A2D S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:115
01E918 $C8             INY                             A:CD05 X:0003 Y:9A2D S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:125
01E919 $85 $80         STA $80 [002180] = $00          A:CD05 X:0003 Y:9A2E S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:128
01E91B $CA             DEX                             A:CD05 X:0003 Y:9A2E S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:144
01E91C $D0 $F7         BNE $01E915                     A:CD05 X:0002 Y:9A2E S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:147
01E915 $B9 $00 $00     LDA $0000,Y [049A2E] = $5A      A:CD05 X:0002 Y:9A2E S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:153
01E918 $C8             INY                             A:CD5A X:0002 Y:9A2E S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:162
01E919 $85 $80         STA $80 [002180] = $00          A:CD5A X:0002 Y:9A2F S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:166
01E91B $CA             DEX                             A:CD5A X:0002 Y:9A2F S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:171
01E91C $D0 $F7         BNE $01E915                     A:CD5A X:0001 Y:9A2F S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:175
01E915 $B9 $00 $00     LDA $0000,Y [049A2F] = $25      A:CD5A X:0001 Y:9A2F S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:180
01E918 $C8             INY                             A:CD25 X:0001 Y:9A2F S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:190
01E919 $85 $80         STA $80 [002180] = $00          A:CD25 X:0001 Y:9A30 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:193
01E91B $CA             DEX                             A:CD25 X:0001 Y:9A30 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:199
01E91C $D0 $F7         BNE $01E915                     A:CD25 X:0000 Y:9A30 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:200 H:202
01E91E $A2 $08 $00     LDX #$0008                      A:CD25 X:0000 Y:9A30 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:200 H:206
