
01826C $D0 $EC         BNE $01825A                     A:0000 X:0793 Y:C71E S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:129
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B3] = $1C    A:0000 X:0793 Y:C71E S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:145
01825E $E8             INX                             A:001C X:0793 Y:C71E S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:155
01825F $99 $00 $00     STA $0000,Y [7FC71E] = $1C      A:001C X:0794 Y:C71E S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:158
018262 $C8             INY                             A:001C X:0794 Y:C71E S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:168
018263 $A9 $00         LDA #$00                        A:001C X:0794 Y:C71F S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:171
018265 $99 $00 $00     STA $0000,Y [7FC71F] = $00      A:0000 X:0794 Y:C71F S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:175
018268 $C8             INY                             A:0000 X:0794 Y:C71F S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:185
018269 $CE $33 $19     DEC $1933 [7F1933] = $05        A:0000 X:0794 Y:C720 S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:188
01826C $D0 $EC         BNE $01825A                     A:0000 X:0794 Y:C720 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:200
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B4] = $10    A:0000 X:0794 Y:C720 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:205
01825E $E8             INX                             A:0010 X:0794 Y:C720 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:215
01825F $99 $00 $00     STA $0000,Y [7FC720] = $10      A:0010 X:0795 Y:C720 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:219
018262 $C8             INY                             A:0010 X:0795 Y:C720 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:228
018263 $A9 $00         LDA #$00                        A:0010 X:0795 Y:C721 S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:232
018265 $99 $00 $00     STA $0000,Y [7FC721] = $00      A:0000 X:0795 Y:C721 S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:236
018268 $C8             INY                             A:0000 X:0795 Y:C721 S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:245
018269 $CE $33 $19     DEC $1933 [7F1933] = $04        A:0000 X:0795 Y:C722 S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:249
01826C $D0 $EC         BNE $01825A                     A:0000 X:0795 Y:C722 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:260
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B5] = $10    A:0000 X:0795 Y:C722 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:266
01825E $E8             INX                             A:0010 X:0795 Y:C722 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:276
01825F $99 $00 $00     STA $0000,Y [7FC722] = $10      A:0010 X:0796 Y:C722 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:293
